Gene	miRNA
B9D1	hsa-mir-1180
SLC47A1	ACA59B
RPL23A	U42B
SNORD42B	U42B
RPL23A	mgh18S-121
SNORD4A	mgh18S-121
RPL23A	U42A
SNORD42A	U42A
RPL23A	Z17B
SNORD4B	Z17B
NSRP1	hsa-mir-423
NSRP1	hsa-mir-3184
ZNF207	hsa-mir-632
SNORD7	mgU6-47
AATF	hsa-mir-2909
RPL23	ACA21
SNORA21	ACA21
SNORD124	SNORD124
MED24	SNORD124
PLEKHM1	hsa-mir-4315-1
COPZ2	hsa-mir-152
SKAP1	hsa-mir-1203
HOXB-AS5	hsa-mir-3185
SKA2	hsa-mir-454
SKA2	hsa-mir-301a
USP32	ACA66
SCARNA20	ACA66
SNORD104	U104
SNORA76	ACA62
PLEKHM1P	hsa-mir-4315-2
PRKCA	hsa-mir-634
PITPNC1	hsa-mir-548d-2
SNORA38B	SNORA38B
NOL11	SNORA38B
WIPI1	hsa-mir-635
SNHG16	snR38C
SNORD1C	snR38C
SNHG16	snR38B
SNORD1B	snR38B
SNHG16	snR38A
SNORD1A	snR38A
SRSF2	hsa-mir-636
SEC14L1	ACA47
SCARNA16	ACA47
LINC00338	ACA47
SEPT9	hsa-mir-4316
AATK	hsa-mir-657
AATK	hsa-mir-3065
AATK	hsa-mir-338
AATK	hsa-mir-1250
BAHCC1	hsa-mir-3186
L3MBTL4	hsa-mir-4317
ANKRD30B	hsa-mir-3156-2
ABHD3	hsa-mir-320c-1
MIB1	hsa-mir-133a-1
MIB1	hsa-mir-1-2
OSBPL1A	hsa-mir-320c-2
LINC00669	hsa-mir-924
RPL17-C18orf32	hsa-mir-1539
RPL17	U58C
RPL17-C18orf32	U58C
SNORD58C	U58C
RPL17	U58A
RPL17-C18orf32	U58A
SNORD58A	U58A
RPL17	U58B
RPL17-C18orf32	U58B
SNORD58B	U58B
SCARNA17	mgU12-22/U4-8
SCARNA17	U91
MYO5B	hsa-mir-4320
MBD2	ACA37
SNORA37	ACA37
LPPR3	hsa-mir-3187
REXO1	hsa-mir-1909
PLEKHJ1	hsa-mir-1227
AMH	hsa-mir-4321
DAPK3	hsa-mir-637
SNORD37	U37
EEF2	U37
TUBB4A	hsa-mir-220b
PPAN-P2RY11	U105
SNORD105	U105
PPAN	U105
PPAN-P2RY11	U105B
SNORD105B	U105B
PPAN	U105B
S1PR2	hsa-mir-4322
CDC37	hsa-mir-1181
ATG4D	hsa-mir-1238
DNM2	hsa-mir-638
DNM2	hsa-mir-199a-1
TNPO2	U41
SNORD41	U41
LOC284454	hsa-mir-24-2
TECR	hsa-mir-639
WIZ	hsa-mir-1470
RPL18A	U68
SNORA68	U68
GDF15	hsa-mir-3189
GATAD2A	hsa-mir-640
ZNF826P	hsa-mir-1270-2
AKT2	hsa-mir-641
LOC100505622	hsa-mir-4323
EML2	hsa-mir-330
GIPR	hsa-mir-642
PRKD2	hsa-mir-320e
BBC3	hsa-mir-3190
BBC3	hsa-mir-3191
SNORD23	HBII-115
GLTSCR2	HBII-115
SLC6A16	hsa-mir-4324
RPL13A	U32A
RPL13AP5	U32A
SNORD32A	U32A
RPL13A	U33
RPL13AP5	U33
SNORD33	U33
RPL13A	U34
RPL13AP5	U34
SNORD34	U34
RPL13A	U35A
RPL13AP5	U35A
SNORD35A	U35A
RPS11	U35B
SNORD35B	U35B
C19orf48	HBII-180B
SNORD88B	HBII-180B
C19orf48	HBII-180A
SNORD88A	HBII-180A
C19orf48	HBII-180C
SNORD88C	HBII-180C
ZNF766	hsa-mir-643
CACNG8	hsa-mir-935
SNORD119	SNORD119
SNRPB	SNORD119
NOP56	hsa-mir-1292
NOP56	HBII-55
SNORD110	HBII-55
NOP56	ACA51
SNORA51	ACA51
NOP56	U86
SNORD86	U86
NOP56	U56
SNORD56	U56
NOP56	U57
SNORD57	U57
PANK2	hsa-mir-103-2
PANK2	hsa-mir-103-2-as
SNX5	HBI-43
SNORD17	HBI-43
POLR3F	hsa-mir-3192
LOC284801	hsa-mir-663
ITCH	hsa-mir-644
MYH7B	hsa-mir-499
LOC388796	U71b
SNORA71B	U71b
LOC388796	U71a
SNORA71A	U71a
LOC388796	U71c
SNORA71C	U71c
LOC388796	U71d
SNORA71D	U71d
SNORA39	ACA39
SNHG11	ACA39
SNORA60	ACA60
SNHG11	ACA60
ZFAS1	U106
SNORD12C	U106
ZFAS1	hsa-mir-1259
SNORD12B	hsa-mir-1259
ZFAS1	HBII-99B
SNORD12B	HBII-99B
ZFAS1	HBII-99
SNORD12	HBII-99
FAM65C	hsa-mir-1302-5
NFATC2	hsa-mir-3194
LOC284757	hsa-mir-646
TAF4	hsa-mir-3195
C20orf166	hsa-mir-1-1
C20orf166	hsa-mir-133a-2
BIRC7	hsa-mir-3196
ARFGAP1	hsa-mir-4326
DNAJC5	hsa-mir-941-1
DNAJC5	hsa-mir-941-2
DNAJC5	hsa-mir-941-3
UCKL1	hsa-mir-1914
UCKL1	hsa-mir-647
LINC00478	hsa-mir-99a
LINC00478	hsa-let-7c
LINC00478	hsa-mir-125b-2
URB1	ACA67
SNORA80	ACA67
BID	hsa-mir-3198
MICAL3	hsa-mir-648
TANGO2	hsa-mir-185
DGCR8	hsa-mir-1306
RTN4R	hsa-mir-1286
TPST2	hsa-mir-548j
TTC28-AS1	hsa-mir-3199-1
TTC28-AS1	hsa-mir-3199-2
AP1B1	SNORD125
SNORD125	SNORD125
OSBP2	hsa-mir-3200
ANKRD54	hsa-mir-658
RPL3	U83B
SNORD83B	U83B
RPL3	U83A
SNORD83A	U83A
RPL3	U43
SNORD43	U43
SREBF2	hsa-mir-33a
KIAA0930	hsa-mir-1249
