Gene	miRNA
UMPS	hsa-mir-544b
EEFSEC	hsa-mir-1280
RPL32P3	ACA7B
SNORA7B	ACA7B
MRPL3	ACA58
SNORA58	ACA58
SMC4	hsa-mir-15b
SMC4	hsa-mir-16-2
KPNA4	U90
SCARNA7	U90
EGFEM1P	hsa-mir-551b
TERC	hTR
TNIK	hsa-mir-569
VWA5B2	hsa-mir-1224
EIF4G1	HBII-142
SNORD66	HBII-142
EIF4A2	snR39B
SNORD2	snR39B
SNORA81	hsa-mir-1248
EIF4A2	hsa-mir-1248
SNORA81	HBI-61
EIF4A2	HBI-61
EIF4A2	E3
SNORA63	E3
EIF4A2	ACA4
SNORA4	ACA4
LPP	hsa-mir-28
TP63	hsa-mir-944
XXYLT1	hsa-mir-3137
KIAA0226	hsa-mir-922
ZNF141	hsa-mir-571
WHSC1	ACA11
SCARNA22	ACA11
NELFA	hsa-mir-943
SORCS2	hsa-mir-4274
ABLIM2	hsa-mir-95
WDR1	hsa-mir-3138
SLIT2	hsa-mir-218-1
FAM114A1	hsa-mir-574
SNORA26	HBI-6
DANCR	HBI-6
SCD5	hsa-mir-575
PPP3CA	hsa-mir-1255a
SEC24B	hsa-mir-576
LARP7	hsa-mir-367
LARP7	hsa-mir-302d
LARP7	hsa-mir-302a
LARP7	hsa-mir-302c
LARP7	hsa-mir-302b
ANK2	hsa-mir-1243
UGT8	hsa-mir-577
SNHG8	ACA24
SNORA24	ACA24
GAB1	hsa-mir-3139
RPS3A	U73b
RPS3A	U73a
SNORD73A	U73a
FBXW7	hsa-mir-3140
CPE	hsa-mir-578
CPE	hsa-mir-1979
GALNT7	hsa-mir-548t
SNORD123	SNORD123
LOC100505806	SNORD123
FBXL7	hsa-mir-887
PDZD2	hsa-mir-4279
ZFR	hsa-mir-579
LMBRD2	hsa-mir-580
RPL37	HBII-240
SNORD72	HBII-240
PLCXD3	hsa-mir-1274a
ARL15	hsa-mir-581
CDC20B	hsa-mir-449a
CDC20B	hsa-mir-449b
CDC20B	hsa-mir-449c
PDE4D	hsa-mir-582
ZBED3	HBI-115
SNORA47	HBI-115
TMEM167A	U109
SCARNA18	U109
LINC00461	hsa-mir-9-2
FAM172A	hsa-mir-2277
ST8SIA4	hsa-mir-548p
TMEM232	hsa-mir-548f-3
EPB41L4A-AS1	ACA13
SNORA13	ACA13
DTWD2	hsa-mir-1244-2
FSTL4	hsa-mir-1289-2
VTRNA2-1	hsa-mir-886
KLHL3	hsa-mir-874
SNORD63	U63
HSPA9	U63
SNHG4	U19
SNORA74A	U19
SH3TC2	hsa-mir-584
GALNT10	hsa-mir-1294
PANK3	hsa-mir-103-1
PANK3	hsa-mir-103-1-as
SLIT3	hsa-mir-218-2
SLIT3	hsa-mir-585
SNORA74B	U19-2
ATP6V0E1	U19-2
ARL10	hsa-mir-1271
SNCB	hsa-mir-4281
MGAT4B	hsa-mir-1229
RNF130	hsa-mir-340
GNB2L1	U96a
SNORD96A	U96a
GNB2L1	U95
SNORD95	U95
SNORD32B	U32B
ABCF1	hsa-mir-877
DDX39B	U83
SNORD117	U83
ATP6V1G2-DDX39B	U83
SNORD84	U84
DDX39B	U84
ATP6V1G2-DDX39B	U84
PRRC2A	ACA38
SNORA38	ACA38
C6orf48	U48
SNORD48	U48
C6orf48	U52
SNORD52	U52
NELFE	hsa-mir-1236
SUPT3H	hsa-mir-586
PRIM2	hsa-mir-548u
KCNQ5	hsa-mir-4282
SNORD50A	U50
SNHG5	U50
SNORD50B	U50B
SNHG5	U50B
LOC100422737	hsa-mir-587
FAM184A	hsa-mir-548b
RPS12	U101
SNORD101	U101
RPS12	HBII-429
SNORD100	HBII-429
RPS12	ACA33
SNORA33	ACA33
NHSL1	hsa-mir-3145
TCP1	ACA20
SNORA20	ACA20
TCP1	ACA29
SNORA29	ACA29
RPS6KA2	hsa-mir-1913
C7orf50	hsa-mir-339
FBXL18	hsa-mir-589
TWISTNB	hsa-mir-3146
SP4	hsa-mir-1183
SNORD93	HBII-336
HOXA10-HOXA9	hsa-mir-196b
HOXA-AS4	hsa-mir-196b
ZNRF2	hsa-mir-550-1
DPY19L1	hsa-mir-548n
ELMO1	hsa-mir-1200
SNORA9	ACA9
SNHG15	ACA9
TBRG4	ACA5
SNORA5A	ACA5
TBRG4	ACA5c
SNORA5C	ACA5c
TBRG4	ACA5b
SNORA5B	ACA5b
CCT6A	ACA15
SNORA15	ACA15
LOC441242	ACA22
SNORA22	ACA22
CCT6P1	ACA22
STX1A	hsa-mir-4284
EIF4H	hsa-mir-590
POR	ACA14a
SNORA14A	ACA14a
KRIT1	hsa-mir-1285-1
CALCR	hsa-mir-653
CALCR	hsa-mir-489
SLC25A13	hsa-mir-591
MCM7	hsa-mir-25
MCM7	hsa-mir-93
MCM7	hsa-mir-106b
SH2B2	hsa-mir-4285
PRKRIP1	hsa-mir-548o
LOC100630923	hsa-mir-548o
GRM8	hsa-mir-592
SND1	hsa-mir-593
MEST	hsa-mir-335
CHRM2	hsa-mir-490
LOC349160	hsa-mir-490
CNTNAP2	hsa-mir-548f-4
CHPF2	hsa-mir-671
PTPRN2	hsa-mir-153-2
PTPRN2	hsa-mir-595
TNKS	hsa-mir-597
PINX1	hsa-mir-1322
XKR6	hsa-mir-598
SGCZ	hsa-mir-383
MTUS1	hsa-mir-548v
SCARA5	hsa-mir-4287
FZD3	hsa-mir-4288
ANK1	hsa-mir-486
RPS20	U54
SNORD54	U54
SNORD87	HBII-276
SNHG6	HBII-276
FLJ39080	hsa-mir-2052
RPL30	U72
SNORA72	U72
VPS13B	hsa-mir-599
VPS13B	hsa-mir-875
RGS22	hsa-mir-1273
BAALC	hsa-mir-3151
CSMD3	hsa-mir-2053
ATAD2	hsa-mir-548d-1
PVT1	hsa-mir-1205
PVT1	hsa-mir-1206
PVT1	hsa-mir-1207
PTK2	hsa-mir-151
SCRIB	hsa-mir-937
PLEC	hsa-mir-661
CPSF1	hsa-mir-939
CPSF1	hsa-mir-1234
RCL1	hsa-mir-101-2
ADAMTSL1	hsa-mir-3152
HAUS6	U92
SCARNA8	U92
FOCAD	hsa-mir-491
UBAP2	SNORD121B
SNORD121B	SNORD121B
UBAP2	SNORD121A
SNORD121A	SNORD121A
TRPM3	hsa-mir-204
HNRNPK	hsa-mir-7-1
CKS2	hsa-mir-3153
LOC286370	hsa-mir-4290
IARS	SNORA84
SNORA84	SNORA84
C9orf3	hsa-mir-2278
C9orf3	hsa-mir-23b
C9orf3	hsa-mir-27b
C9orf3	hsa-mir-3074
C9orf3	hsa-mir-24-1
CCDC180	hsa-mir-1302-8
LOC100499484-C9ORF174	hsa-mir-1302-8
TMEM245	hsa-mir-32
COL27A1	hsa-mir-455
ASTN2	U70C
SNORA70C	U70C
RC3H2	HBII-295
SNORD90	HBII-295
DENND1A	hsa-mir-601
NR6A1	hsa-mir-181a-2
NR6A1	hsa-mir-181b-2
RPL12	U65
SNORA65	U65
DNM1	hsa-mir-199b
DNM1	hsa-mir-3154
PRRC2B	U62A
SNORD62A	U62A
SNORD62B	U62A
PRRC2B	U62B
RPL7A	U24
SNORD24	U24
RPL7A	U36B
SNORD36B	U36B
RPL7A	U36A
SNORD36A	U36A
RPL7A	U36C
SNORD36C	U36C
EGFL7	hsa-mir-126
SNHG7	ACA43
SNORA43	ACA43
SNHG7	ACA17
SNORA17	ACA17
RABL6	hsa-mir-4292
PHEX	hsa-mir-1308
POLA1	ACA12
SCARNA23	ACA12
DMD	hsa-mir-548f-5
ZNF157	SNORA11C
SNORA11C	SNORA11C
CLCN5	hsa-mir-532
CLCN5	hsa-mir-188
CLCN5	hsa-mir-500
CLCN5	hsa-mir-362
CLCN5	hsa-mir-501
CLCN5	hsa-mir-500b
CLCN5	hsa-mir-660
CLCN5	hsa-mir-502
MAGED4B	SNORA11E
MAGED4	SNORA11E
SNORA11D	SNORA11E
SNORA11E	SNORA11E
HUWE1	hsa-mir-98
HUWE1	hsa-let-7f-2
MAGED2	U107
SNORA11	U107
FTX	hsa-mir-421
FTX	hsa-mir-374b
FTX	hsa-mir-545
FTX	hsa-mir-374a
CHM	hsa-mir-361
TMEM164	hsa-mir-652
AMMECR1	U96b
SNORD96B	U96b
AMOT	hsa-mir-4329
HTR2C	HBI-36
SNORA35	HBI-36
HTR2C	hsa-mir-764
HTR2C	hsa-mir-1912
HTR2C	hsa-mir-1264
HTR2C	hsa-mir-1298
HTR2C	hsa-mir-1911
HTR2C	hsa-mir-448
WDR44	hsa-mir-1277
SEPT6	hsa-mir-766
SNORA69	U69
RPL39	U69
MGC16121	hsa-mir-503
MGC16121	hsa-mir-424
VGLL1	hsa-mir-934
RBMX	U61
SNORD61	U61
FGF13	hsa-mir-504
GABRE	hsa-mir-224
GABRE	hsa-mir-452
GABRA3	hsa-mir-105-1
GABRA3	hsa-mir-767
GABRA3	hsa-mir-105-2
TMEM187	hsa-mir-3202-1
TMEM187	hsa-mir-3202-2
RPL10	U70
SNORA70	U70
SNORA36A	ACA36
DKC1	ACA36
SNORA56	ACA56
DKC1	ACA56
F8	hsa-mir-1184-1
F8A2	hsa-mir-1184-1
F8A1	hsa-mir-1184-1
F8A3	hsa-mir-1184-1
CAMK1D	hsa-mir-548q
MRC1	hsa-mir-511-1
C10orf114	hsa-mir-1915
KIAA1217	hsa-mir-603
SVIL	hsa-mir-604
SVIL	hsa-mir-938
ANKRD30BP3	hsa-mir-3156-1
PRKG1	hsa-mir-605
PCDH15	hsa-mir-548f-1
JMJD1C	hsa-mir-1296
CCAR1	HBII-419
SNORD98	HBII-419
CCAR1	hsa-mir-1254
GRID1	hsa-mir-346
PANK1	hsa-mir-107
ENTPD1-AS1	hsa-mir-3157
PYROXD2	hsa-mir-1287
SNORA12	U108
CWF19L1	U108
SEMA4G	hsa-mir-608
DPCD	hsa-mir-3158-2
DPCD	hsa-mir-3158-1
USMG5	hsa-mir-1307
COL17A1	hsa-mir-936
WDR96	hsa-mir-609
SHOC2	hsa-mir-548e
VTI1A	hsa-mir-4295
C10orf118	hsa-mir-2110
EIF3A	ACA19
SNORA19	ACA19
CTBP2	hsa-mir-4296
EBF3	hsa-mir-4297
SNORA52	ACA52
RPLP2	ACA52
H19	hsa-mir-675
IGF2	hsa-mir-483
NAP1L4	ACA54
SNORA54	ACA54
SNORA3	ACA3
RPL27A	ACA3
RPL27A	ACA3-2
SNORA45	ACA3-2
IPO7	ACA23
SNORA23	ACA23
SNORD97	U97
EIF4G2	U97
RPS13	U14B
RPS13	U14A
KIF18A	hsa-mir-610
AMBRA1	hsa-mir-3160-1
AMBRA1	hsa-mir-3160-2
CKAP5	HBII-166
SNORD67	HBII-166
PTPRJ	hsa-mir-3161
OSBP	hsa-mir-3162
TMEM258	hsa-mir-611
FADS1	hsa-mir-1908
SNORA57	U99
METTL12	U99
C11orf48	U99
SNORD22	U22
SNHG1	U22
SNORD31	U31
SNHG1	U31
SNORD30	U30
SNHG1	U30
SNORD29	U29
SNHG1	U29
SNORD28	U28
SNHG1	U28
SNORD27	U27
SNHG1	U27
SNORD26	U26
SNHG1	U26
SNORD25	U25
SNHG1	U25
RPS6KA4	hsa-mir-1237
PC	hsa-mir-3163
TPCN2	hsa-mir-3164
PPFIA1	hsa-mir-548k
NUMA1	hsa-mir-3165
PDE2A	hsa-mir-139
ARRB1	hsa-mir-326
SNORD15A	U15A
RPS3	U15A
SNORD15B	U15B
RPS3	U15B
TENM4	hsa-mir-708
RAB30	U70E
SNORA70E	U70E
KIAA1731	mgU2-19/30
SCARNA9	mgU2-19/30
SNORA25	ACA25
SNORA32	ACA32
SNORD6	mgh28S-2411
SNORA1	ACA1
SNORA8	ACA8
SNORD5	mgh28S-2409
SNORA18	ACA18
SNORA40	ACA40
MRE11A	hsa-mir-548l
MAML2	hsa-mir-1260b
DRD2	hsa-mir-4301
KIRREL3	hsa-mir-3167
SCARNA10	U85
NCAPD2	U85
CHD4	ACA57
SCARNA11	ACA57
PHB2	U89
SCARNA12	U89
SOX5	hsa-mir-920
KANSL2	ACA34
SNORA34	ACA34
KANSL2	hsa-mir-1291
SNORA34	hsa-mir-1291
KANSL2	ACA2a
SNORA2A	ACA2a
KANSL2	ACA2b
SNORA2B	ACA2b
HOXC5	hsa-mir-615
COPZ1	hsa-mir-148b
SNORD59B	U59B
ATP5B	U59B
SNORD59A	U59A
ATP5B	U59A
LRP1	hsa-mir-1228
DDIT3	hsa-mir-616
CTDSP2	hsa-mir-26a-2
RASSF3	hsa-mir-548c
RAP1B	U70G
SNORA70G	U70G
CPSF6	hsa-mir-1279
SYT1	hsa-mir-1252
LIN7A	hsa-mir-617
LIN7A	hsa-mir-618
KRT19P2	hsa-mir-492
RMST	hsa-mir-1251
SLC25A3	ACA53
SNORA53	ACA53
SSH1	hsa-mir-619
MED13L	hsa-mir-620
CIT	hsa-mir-1178
PITPNM2	hsa-mir-4304
EP400	ACA49
SNORA49	ACA49
SPATA13	hsa-mir-2276
RPL21P28	U102
SNORD102	U102
RPL21	U102
RPL21P28	ACA27
SNORA27	ACA27
RPL21	ACA27
COG6	hsa-mir-4305
TPTE2P5	hsa-mir-621
SLC25A15	hsa-mir-621
SNORA31	ACA31
TPT1	ACA31
DLEU2	hsa-mir-16-1
DLEU2	hsa-mir-15a
FARP1	hsa-mir-3170
UBAC2	hsa-mir-623
CLYBL	hsa-mir-4306
FAM155A	hsa-mir-1267
SNORD126	hsa-mir-1201
CCNB1IP1	hsa-mir-1201
SNORD126	SNORD126
CCNB1IP1	SNORD126
CHD8	mgU6-53B
SNORD9	mgU6-53B
CHD8	mgU6-53
SNORD8	mgU6-53
MYH6	hsa-mir-208a
MYH7	hsa-mir-208b
LINC00645	hsa-mir-3171
STRN3	hsa-mir-624
AKAP6	hsa-mir-3172
SNORD127	SNORD127
PRPF39	SNORD127
GCH1	hsa-mir-4308
SYNE2	hsa-mir-548h-1
